	gene_name	gene_symbol	ENSEMBL.tag	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000038224	serine (or cysteine) peptidase inhibitor, clade F, member 2	ENSMUSG00000038224	Serpinf2	2.66575772773998	4.71725363924203	26.1643702625261	3.13554932435712e-07	9.91057554305734e-05
ENSMUSG00000028158	microsomal triglyceride transfer protein	ENSMUSG00000028158	Mttp	1.89542496502796	5.60759795703614	26.0337908023383	3.35493708070932e-07	0.000103573929642828
ENSMUSG00000023906	claudin 6	ENSMUSG00000023906	Cldn6	1.60975739326125	6.04445834849466	25.7815184007377	3.8233203977382e-07	0.00011535131427267
ENSMUSG00000027750	periostin, osteoblast specific factor	ENSMUSG00000027750	Postn	1.31829942215372	5.41856510523979	24.9660047363187	5.83501303308915e-07	0.00017213288447613
ENSMUSG00000054545	UDP glucuronosyltransferase 1 family, polypeptide A6A	ENSMUSG00000054545	Ugt1a6a	2.55271533348582	2.92933845014993	24.8579142236779	6.17151513617727e-07	0.000178101877027724
ENSMUSG00000032854	UDP galactosyltransferase 8A	ENSMUSG00000032854	Ugt8a	3.49825788533323	1.84321570758836	24.5800351590669	7.12864914751529e-07	0.000201346420070778
ENSMUSG00000007034	solute carrier family 44, member 4	ENSMUSG00000007034	Slc44a4	1.54241324350506	4.43339918724803	24.5304873504159	7.31432997870047e-07	0.000202286938473435
ENSMUSG00000032816	immunoglobulin superfamily, DCC subclass, member 4	ENSMUSG00000032816	Igdcc4	2.17604998863921	2.88083822646261	24.2934318120322	8.2720652390032e-07	0.000224105440913811
ENSMUSG00000006529	inter-alpha trypsin inhibitor, heavy chain 1	ENSMUSG00000006529	Itih1	2.36778446125755	2.5964724848171	24.230120175664	8.54848832612256e-07	0.000226962365058554
ENSMUSG00000026837	collagen, type V, alpha 1	ENSMUSG00000026837	Col5a1	1.73128045877719	6.0889485167204	23.8295315426392	1.05255164982021e-06	0.000273973002967908
ENSMUSG00000028358	zinc finger protein 618	ENSMUSG00000028358	Zfp618	2.54175988853593	1.42266451885964	23.7901566982509	1.07430450767528e-06	0.000274257544988257
ENSMUSG00000024164	complement component 3	ENSMUSG00000024164	C3	1.81860849489714	6.04160693336161	23.6843955884882	1.13499095793853e-06	0.000284283112577999
ENSMUSG00000037254	inter-alpha trypsin inhibitor, heavy chain 2	ENSMUSG00000037254	Itih2	2.74899041473268	4.68735286495753	23.5950413184044	1.18893505860093e-06	0.000289932482339771
ENSMUSG00000000753	serine (or cysteine) peptidase inhibitor, clade F, member 1	ENSMUSG00000000753	Serpinf1	2.41510540325358	3.11424216919455	23.5752501224422	1.20122685715159e-06	0.000289932482339771
ENSMUSG00000040690	collagen, type XVI, alpha 1	ENSMUSG00000040690	Col16a1	1.6341993515489	5.41162956907372	23.0548489876312	1.57444921355318e-06	0.000372667620543418
ENSMUSG00000029195	klotho beta	ENSMUSG00000029195	Klb	1.8060873782447	3.33344523481026	22.9975960842899	1.62204097066514e-06	0.000372667620543418
ENSMUSG00000051652	leucine rich repeat containing 3	ENSMUSG00000051652	Lrrc3	1.91236763724183	3.13403431643817	22.9408361105522	1.67064734071034e-06	0.000372667620543418
ENSMUSG00000027253	low density lipoprotein receptor-related protein 4	ENSMUSG00000027253	Lrp4	1.95969564459097	3.03332846538105	22.9368310803744	1.67413172339268e-06	0.000372667620543418
ENSMUSG00000029368	albumin	ENSMUSG00000029368	Alb	3.24527335096411	8.51111093210919	22.9251072556834	1.68437342618494e-06	0.000372667620543418
ENSMUSG00000031906	sphingomyelin phosphodiesterase 3, neutral	ENSMUSG00000031906	Smpd3	2.64807631353131	3.14749724986857	22.7531336932449	1.84203517485855e-06	0.000400869130266348
ENSMUSG00000027070	low density lipoprotein receptor-related protein 2	ENSMUSG00000027070	Lrp2	2.30439950655276	6.73307979280465	22.6670430732348	1.92643861178131e-06	0.000407481891283264
ENSMUSG00000035403	crumbs family member 2	ENSMUSG00000035403	Crb2	2.77786710005136	1.25228230351358	22.6597025091577	1.9338123654121e-06	0.000407481891283264
ENSMUSG00000005124	cellular communication network factor 4	ENSMUSG00000005124	Ccn4	1.97785485227879	2.95764124635113	22.4985397285073	2.10303406022593e-06	0.000436215267960925
ENSMUSG00000038732	membrane bound O-acyltransferase domain containing 1	ENSMUSG00000038732	Mboat1	1.67589655818372	3.83435102031834	22.3589905946357	2.26151846453336e-06	0.000461871655641237
ENSMUSG00000071177	serine (or cysteine) peptidase inhibitor, clade A, member 1D	ENSMUSG00000071177	Serpina1d	2.67725721406309	3.86681177961541	22.1789552978883	2.48381478455245e-06	0.000499585473711118
ENSMUSG00000022181	complement component 6	ENSMUSG00000022181	C6	3.30199929159238	2.12223019307315	22.0063960282288	2.71743388947202e-06	0.000538416938548375
ENSMUSG00000018166	erb-b2 receptor tyrosine kinase 3	ENSMUSG00000018166	Erbb3	1.46847806249228	4.62441161178964	21.8839964899928	2.89639376244679e-06	0.000560055550013458
ENSMUSG00000073678	post-GPI attachment to proteins 1	ENSMUSG00000073678	Pgap1	1.7463439591258	3.56520713555651	21.8743285897247	2.91102319781006e-06	0.000560055550013458
ENSMUSG00000034435	transmembrane protein 30B	ENSMUSG00000034435	Tmem30b	1.66408299607521	5.63497764189381	21.6839654099543	3.21467154154796e-06	0.000609639495914989
ENSMUSG00000026205	solute carrier family 23 (nucleobase transporters), member 3	ENSMUSG00000026205	Slc23a3	2.14172256745757	3.80509891483995	21.6229753267791	3.31852780147413e-06	0.000620471219219283
ENSMUSG00000022636	activated leukocyte cell adhesion molecule	ENSMUSG00000022636	Alcam	1.89394815860699	2.90864468094085	21.5912654128198	3.37384817575013e-06	0.00062205325740393
ENSMUSG00000047501	claudin 4	ENSMUSG00000047501	Cldn4	1.07323298806353	6.42217942437306	21.3617388467344	3.80285096093625e-06	0.000684718181344354
ENSMUSG00000000385	transmembrane protease, serine 2	ENSMUSG00000000385	Tmprss2	1.33049033632464	6.42484061700286	21.3546769104586	3.81688477736212e-06	0.000684718181344354
ENSMUSG00000021638	occludin	ENSMUSG00000021638	Ocln	1.67475332519037	4.25969610058386	21.2131472078902	4.1093598644597e-06	0.000727356696009367
ENSMUSG00000029119	mannosidase 2, alpha B2	ENSMUSG00000029119	Man2b2	1.46264732462669	5.70657228682301	21.1028705816374	4.35275588084631e-06	0.000751623163547837
ENSMUSG00000075592	NYN domain and retroviral integrase containing	ENSMUSG00000075592	Nynrin	1.12033327377763	5.04890949795655	21.0998170605156	4.35969744581419e-06	0.000751623163547837
ENSMUSG00000000303	cadherin 1	ENSMUSG00000000303	Cdh1	1.26030357401717	6.67777888015839	20.9135086446584	4.80494153130154e-06	0.00081776408753882
ENSMUSG00000078607	RIKEN cDNA 1810010H24 gene	ENSMUSG00000078607	1810010H24Rik	2.09573109015444	2.22848141538923	20.8626720627787	4.93417016159093e-06	0.000829127960697716
ENSMUSG00000018217	peripheral myelin protein 22	ENSMUSG00000018217	Pmp22	1.29251570889644	5.4122144327873	20.7408340497599	5.25826618106055e-06	0.000872543544419735
ENSMUSG00000026715	serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1	ENSMUSG00000026715	Serpinc1	2.04909332565845	3.30104657060977	20.6444301384358	5.52978209300478e-06	0.000906269843020228
ENSMUSG00000038600	ATPase, H+ transporting, lysosomal V0 subunit A4	ENSMUSG00000038600	Atp6v0a4	2.15201530456184	3.74967004617458	20.5660253961998	5.760949197767e-06	0.000932641470736061
ENSMUSG00000009376	met proto-oncogene	ENSMUSG00000009376	Met	1.78791349239192	3.54993478587241	20.4590099121254	6.09220829745196e-06	0.000974386327092468
ENSMUSG00000021390	osteoglycin	ENSMUSG00000021390	Ogn	2.1119796084373	2.37239568495085	20.3512326817993	6.44515552956399e-06	0.00101636196745581
ENSMUSG00000030834	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	ENSMUSG00000030834	Abcc6	2.43273978181096	1.83481649597482	20.322847603478	6.54147812217955e-06	0.00101636196745581
ENSMUSG00000031451	growth arrest specific 6	ENSMUSG00000031451	Gas6	1.57247917193836	4.61098923005122	20.3103510191327	6.58434118276456e-06	0.00101636196745581
ENSMUSG00000034918	cadherin-related family member 2	ENSMUSG00000034918	Cdhr2	2.54495103907039	5.05125275893804	20.239195006422	6.83383396178394e-06	0.00104274880278945
ENSMUSG00000025194	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	ENSMUSG00000025194	Abcc2	2.40006670959905	3.79932036794517	20.1084726120767	7.3171809599821e-06	0.00110381337777003
ENSMUSG00000074768	betaine-homocysteine methyltransferase	ENSMUSG00000074768	Bhmt	2.67985000812058	1.88677848473158	20.0155834770886	7.68136150834111e-06	0.00114573116880032
ENSMUSG00000036606	plexin B2	ENSMUSG00000036606	Plxnb2	1.13000612728016	6.69015274364668	19.9372212179831	8.00270424703897e-06	0.00118039887643825
ENSMUSG00000017344	vitronectin	ENSMUSG00000017344	Vtn	2.59452516235422	5.1335687386625	19.8001486636593	8.59759893502367e-06	0.00125421017431252
ENSMUSG00000031209	hephaestin	ENSMUSG00000031209	Heph	2.27425558517648	4.08183839493502	19.6657095942388	9.2241830014759e-06	0.00133098944939774
ENSMUSG00000040848	SFT2 domain containing 2	ENSMUSG00000040848	Sft2d2	1.16392435900688	5.29548103505555	19.5906675006105	9.5936674626961e-06	0.00136941866201388
ENSMUSG00000024130	ATP-binding cassette, sub-family A (ABC1), member 3	ENSMUSG00000024130	Abca3	1.17327875908492	5.59551324670334	19.443517706721	1.036189189082e-05	0.00146334164734719
ENSMUSG00000031548	secreted frizzled-related protein 1	ENSMUSG00000031548	Sfrp1	1.56459426769647	2.60811000468401	19.217317269064	1.16650386152162e-05	0.00163003565912626
ENSMUSG00000022766	serine (or cysteine) peptidase inhibitor, clade D, member 1	ENSMUSG00000022766	Serpind1	2.43800324238398	5.62478575546726	19.1295829200745	1.22137027096557e-05	0.00168892607781958
ENSMUSG00000025075	hyaluronic acid binding protein 2	ENSMUSG00000025075	Habp2	2.36060134692298	4.15743445237546	18.9725162014114	1.32614973444282e-05	0.0018149111056421
ENSMUSG00000024371	complement component 2 (within H-2S)	ENSMUSG00000024371	C2	1.46382458642681	5.04693723595727	18.9381194582746	1.35027504137752e-05	0.00182907154839659
ENSMUSG00000028064	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	ENSMUSG00000028064	Sema4a	1.95061709970322	4.64514847213279	18.8499052145565	1.41418128046036e-05	0.00188102070600039
ENSMUSG00000033577	myosin VI	ENSMUSG00000033577	Myo6	1.05674452849613	5.6199517833029	18.8461545601537	1.41696475028278e-05	0.00188102070600039
ENSMUSG00000031965	T-box 20	ENSMUSG00000031965	Tbx20	1.67961152818644	2.44796810289047	18.7925942988842	1.45731901086699e-05	0.00191543662071874
ENSMUSG00000021364	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	ENSMUSG00000021364	Elovl2	2.14437423108421	1.77480764234626	18.5533452764366	1.65215022877748e-05	0.00213214359877872
ENSMUSG00000055737	growth hormone receptor	ENSMUSG00000055737	Ghr	1.28504893112636	6.30309674358603	18.5508452127486	1.65431857381701e-05	0.00213214359877872
ENSMUSG00000028356	alpha 1 microglobulin/bikunin precursor	ENSMUSG00000028356	Ambp	2.31179619720655	4.26540289196277	18.4885243572417	1.70930403145724e-05	0.00213507320832514
ENSMUSG00000032334	lysyl oxidase-like 1	ENSMUSG00000032334	Loxl1	1.98235797819228	2.32138448153847	18.4867151860174	1.71092738692583e-05	0.00213507320832514
ENSMUSG00000035504	receptor accessory protein 6	ENSMUSG00000035504	Reep6	1.3175004531414	5.19414088246851	18.4764091609636	1.72020448660928e-05	0.00213507320832514
ENSMUSG00000046811	glycolipid transfer protein domain containing 2	ENSMUSG00000046811	Gltpd2	2.10517791381328	2.52983962772269	18.4756107432461	1.72092529785906e-05	0.00213507320832514
ENSMUSG00000004328	hypoxia inducible factor 3, alpha subunit	ENSMUSG00000004328	Hif3a	1.90719294619969	4.24884848102811	18.3546922369681	1.83366834423468e-05	0.00225388400645513
ENSMUSG00000068877	selenium binding protein 2	ENSMUSG00000068877	Selenbp2	2.12872368439638	2.20196723109737	18.1924442448684	1.99669400767492e-05	0.00243175348182427
ENSMUSG00000015944	cytosolic arginine sensor for mTORC1 subunit 2	ENSMUSG00000015944	Castor2	1.36935573407094	4.55836626667236	18.1645916878884	2.0261100882713e-05	0.00244514649289105
ENSMUSG00000058952	complement component factor i	ENSMUSG00000058952	Cfi	2.49616772104333	5.87626624017419	18.1333695607585	2.05960279930907e-05	0.00246317361809261
ENSMUSG00000068587	maltase-glucoamylase	ENSMUSG00000068587	Mgam	2.25677406205245	2.04147126087577	18.1157343617933	2.07876572930267e-05	0.00246389420147259
ENSMUSG00000090486	NA	ENSMUSG00000090486	NA	1.99796147197653	3.19314364930407	18.0880860705371	2.10917039067854e-05	0.00247780857842987
ENSMUSG00000079015	serine (or cysteine) peptidase inhibitor, clade A, member 1C	ENSMUSG00000079015	Serpina1c	2.56860046441762	4.69491720388812	17.9773330065889	2.2355114036529e-05	0.00259324037851136
ENSMUSG00000018459	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	ENSMUSG00000018459	Slc13a3	2.31237886097263	4.56434790923927	17.9653614027751	2.24961547022595e-05	0.00259324037851136
ENSMUSG00000047230	claudin 2	ENSMUSG00000047230	Cldn2	2.47141902857855	5.78973926065893	17.9425201485428	2.27677386274437e-05	0.00259324037851136
ENSMUSG00000053897	solute carrier family 39 (metal ion transporter), member 8	ENSMUSG00000053897	Slc39a8	1.17443493422872	5.45629976947324	17.9351827517469	2.28556779123035e-05	0.00259324037851136
ENSMUSG00000057880	4-aminobutyrate aminotransferase	ENSMUSG00000057880	Abat	1.49531557102743	4.6206722357363	17.8749371369067	2.35907529220813e-05	0.00263820169984663
ENSMUSG00000023960	ectonucleotide pyrophosphatase/phosphodiesterase 5	ENSMUSG00000023960	Enpp5	1.12907332474242	5.15991715912466	17.870210730541	2.36494163677401e-05	0.00263820169984663
ENSMUSG00000090231	complement factor B	ENSMUSG00000090231	Cfb	2.28467253358113	6.10277207340151	17.8391418580436	2.40387041465973e-05	0.00265928164621732
ENSMUSG00000009614	sarcosine dehydrogenase	ENSMUSG00000009614	Sardh	1.79518357491414	3.01638177125649	17.8211867646987	2.42666074972588e-05	0.00266230755806703
ENSMUSG00000029082	bone marrow stromal cell antigen 1	ENSMUSG00000029082	Bst1	1.68836303511682	5.29239641248526	17.7175690768915	2.56248926711435e-05	0.00277545562026362
ENSMUSG00000027249	coagulation factor II	ENSMUSG00000027249	F2	2.29713025614169	6.31053642888667	17.7108113470564	2.5716085973064e-05	0.00277545562026362
ENSMUSG00000033792	ATPase, Cu++ transporting, alpha polypeptide	ENSMUSG00000033792	Atp7a	1.63883404764627	4.36263981372438	17.467191428788	2.92308869220591e-05	0.00312935503137367
ENSMUSG00000062480	acetyl-Coenzyme A acetyltransferase 3	ENSMUSG00000062480	Acat3	2.06854737552043	1.21747984948887	17.4311157874848	2.97909126774832e-05	0.00316379492634872
ENSMUSG00000001739	claudin 15	ENSMUSG00000001739	Cldn15	2.6075993825285	1.54443705722726	17.4074036382219	3.0164872386792e-05	0.00317808476932273
ENSMUSG00000024027	glucagon-like peptide 1 receptor	ENSMUSG00000024027	Glp1r	2.48222513658879	3.93443132912519	17.3862370150462	3.05026706790458e-05	0.00318836971074278
ENSMUSG00000048126	collagen, type VI, alpha 3	ENSMUSG00000048126	Col6a3	1.28980257085189	4.59507367880137	17.3685393875946	3.07880237521886e-05	0.00319305480711174
ENSMUSG00000027315	serine protease inhibitor, Kunitz type 1	ENSMUSG00000027315	Spint1	1.09184945693001	6.11958442999224	17.3494070292281	3.10995289384696e-05	0.00320035850122623
ENSMUSG00000036853	mucolipin 3	ENSMUSG00000036853	Mcoln3	2.11192723526155	2.64478810554228	17.3001016997497	3.1916976974827e-05	0.00325921437954483
ENSMUSG00000028024	glutamyl aminopeptidase	ENSMUSG00000028024	Enpep	1.61654540967176	3.74504271214641	17.2435985331721	3.28803513374536e-05	0.00333195926721143
ENSMUSG00000028001	fibrinogen alpha chain	ENSMUSG00000028001	Fga	2.52644766619226	7.77581001765767	17.2127023415502	3.34194338170398e-05	0.00335224720633373
ENSMUSG00000022875	kininogen 1	ENSMUSG00000022875	Kng1	2.47412290789542	7.12485412052194	17.2032797025622	3.35856028958483e-05	0.00335224720633373
ENSMUSG00000090084	sushi-repeat-containing protein	ENSMUSG00000090084	Srpx	2.08566938809211	1.64720554258371	17.1571895099322	3.44104516577753e-05	0.00340894586385796
ENSMUSG00000025969	neuropilin 2	ENSMUSG00000025969	Nrp2	1.29481037921444	3.46038666889605	17.1414864582608	3.46961056350983e-05	0.00341178372078466
ENSMUSG00000040856	delta like non-canonical Notch ligand 1	ENSMUSG00000040856	Dlk1	1.18476880400385	7.60926629076752	17.0687800628569	3.60500908142307e-05	0.00351885996734494
ENSMUSG00000072849	serine (or cysteine) peptidase inhibitor, clade A, member 1E	ENSMUSG00000072849	Serpina1e	1.69160856316522	3.08853094629506	17.0426818675521	3.65489568386941e-05	0.00351958296110718
ENSMUSG00000012428	STEAP family member 4	ENSMUSG00000012428	Steap4	1.79059289210754	5.01826443054043	17.0390220223776	3.66194672442619e-05	0.00351958296110718
ENSMUSG00000014599	colony stimulating factor 1 (macrophage)	ENSMUSG00000014599	Csf1	1.20303563467368	4.82506640793733	17.0140633817173	3.71039788292842e-05	0.00351958296110718
ENSMUSG00000005268	prolactin receptor	ENSMUSG00000005268	Prlr	1.49605740689431	3.57248038081122	17.0133453619601	3.71180123958572e-05	0.00351958296110718
ENSMUSG00000078185	choroideremia-like	ENSMUSG00000078185	Chml	1.449284420551	3.67980316046434	16.9862442409056	3.76516183814407e-05	0.00354485981569947
ENSMUSG00000062312	erb-b2 receptor tyrosine kinase 2	ENSMUSG00000062312	Erbb2	1.21194703970752	3.52223508752094	16.9632091987565	3.81112239866929e-05	0.00356286266495315
ENSMUSG00000030108	solute carrier family 6 (neurotransmitter transporter, GABA), member 13	ENSMUSG00000030108	Slc6a13	1.56852470318224	3.67042692730923	16.9306301443573	3.87709015668316e-05	0.00359918684125657
ENSMUSG00000028970	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	ENSMUSG00000028970	Abcb1b	1.35999434609326	5.68881837462808	16.8157257049763	4.11905475811238e-05	0.00379725360513485
ENSMUSG00000033860	fibrinogen gamma chain	ENSMUSG00000033860	Fgg	2.48404924713255	7.39157466508722	16.7462624089203	4.27263477583334e-05	0.00391167080339224
ENSMUSG00000046959	solute carrier family 26 (sulfate transporter), member 1	ENSMUSG00000046959	Slc26a1	2.29638199287886	2.99766573210937	16.6134324010862	4.58253196038529e-05	0.00416665149137772
ENSMUSG00000038178	solute carrier family 43, member 2	ENSMUSG00000038178	Slc43a2	1.12420357738567	6.01426735268085	16.5800851136469	4.66381955209657e-05	0.00421171459551578
ENSMUSG00000043592	unc-5 family C-terminal like	ENSMUSG00000043592	Unc5cl	2.1378498272253	2.24916595720083	16.5505327244547	4.73706763079912e-05	0.00424895762154448
ENSMUSG00000013643	LY6/PLAUR domain containing 8	ENSMUSG00000013643	Lypd8	2.91166308510326	3.06855782708526	16.4367952757524	5.02993272171075e-05	0.00444441403666823
ENSMUSG00000033688	RIKEN cDNA 1300017J02 gene	ENSMUSG00000033688	1300017J02Rik	1.97550658126914	5.68170598422165	16.4260276372366	5.05858492534718e-05	0.00444441403666823
ENSMUSG00000020258	glycerate kinase	ENSMUSG00000020258	Glyctk	1.65761716994547	3.78964231645455	16.4215581513824	5.07052617264225e-05	0.00444441403666823
ENSMUSG00000030244	glycogen synthase 2	ENSMUSG00000030244	Gys2	2.18300989561273	1.17287791425748	16.4147031659042	5.08889592145816e-05	0.00444441403666823
ENSMUSG00000022505	epithelial membrane protein 2	ENSMUSG00000022505	Emp2	0.933437718113224	4.90401790338091	16.397169244203	5.13618778340848e-05	0.00445639822383971
ENSMUSG00000028132	TLC domain containing 4	ENSMUSG00000028132	Tlcd4	1.80846454961937	1.69225066713627	16.349884683652	5.26593664670225e-05	0.00453930577824496
ENSMUSG00000029260	UDP glucuronosyltransferase 2 family, polypeptide B34	ENSMUSG00000029260	Ugt2b34	2.32731187653114	3.9086739908803	16.3166315249585	5.35915261093829e-05	0.00458985489743263
